"","mRNA","logFC","FDR","Delta","IDH Wildtype","IDH Mutant","start","end"
"ENSG00000235431","ENSG00000235431",-3.18755084367262,5.69909711518769e-95,-11.3043040229215,3.54639175257732,0.290322580645161,9869774,9985895
"ENSG00000253660","ENSG00000253660",-2.50384708368097,9.64410407637175e-69,-11.3576568744292,4.5360824742268,0.626728110599078,167937717,167953469
"ENSG00000130957","ENSG00000130957",-3.39720690106182,4.35165537394691e-101,-11.4524397592496,3.37113402061856,0.207373271889401,94558720,94593824
"ENSG00000250261","ENSG00000250261",-2.71106548820335,1.446680292886e-77,-11.5988884289113,4.27835051546392,0.557603686635945,20587496,20592218
"ENSG00000253479","ENSG00000253479",-3.39472928610292,1.68056927158534e-104,-11.7940594785225,3.47422680412371,0.278801843317972,69424849,69448282
"ENSG00000125888","ENSG00000125888",-2.80039172908749,2.10840444452545e-80,-11.8078372906885,4.21649484536082,0.472350230414747,17693672,17735871
"ENSG00000134389","ENSG00000134389",-2.72552740365294,4.85968741187882e-79,-11.9979402202042,4.4020618556701,0.516129032258065,196977556,197009678
"ENSG00000285876","ENSG00000285876",-2.53435175090621,1.02788686267139e-74,-12.6195040792546,4.97938144329897,0.794930875576037,13000953,13331683
"ENSG00000259737","ENSG00000259737",-3.37908486672314,1.97943311803187e-107,-12.8196209376713,3.79381443298969,0.292626728110599,36438972,36471016
"ENSG00000223941","ENSG00000223941",-2.59651833087187,1.47654182533656e-76,-12.9558234241442,4.98969072164948,0.688940092165899,178419201,178457309
"ENSG00000251273","ENSG00000251273",-2.60933677341063,3.11591416123187e-76,-13.0466838670532,5,0.652073732718894,25087450,25190956
"ENSG00000235947","ENSG00000235947",-2.88584452671881,1.84800368645707e-88,-13.0606778064903,4.52577319587629,0.506912442396313,4749192,4751590
"ENSG00000139330","ENSG00000139330",-2.56604397612101,9.38128260660328e-77,-13.412209236014,5.22680412371134,0.806451612903226,91050491,91058024
"ENSG00000180178","ENSG00000180178",-2.87666194687285,1.31291500774578e-90,-13.5232767811754,4.70103092783505,0.619815668202765,130012065,130040560
"ENSG00000226829","ENSG00000226829",-3.62864064269549,1.05194963438787e-117,-13.616754576713,3.75257731958763,0.21889400921659,68149548,68319676
"ENSG00000232192","ENSG00000232192",-2.95269193452284,4.4074583912283e-91,-13.7589356124157,4.65979381443299,0.481566820276498,245206444,245234501
"ENSG00000211968","ENSG00000211968",-2.51682988488389,1.67764502780887e-74,-13.9333778163159,5.5360824742268,0.857142857142857,106622357,106622855
"ENSG00000181965","ENSG00000181965",-4.22566247888069,5.15781453146709e-142,-14.0274568886555,3.31958762886598,0.0875576036866359,135534282,135535964
"ENSG00000248329","ENSG00000248329",-2.87241461142883,1.48834793343434e-89,-14.1843979265403,4.93814432989691,0.516129032258065,164877178,164898965
"ENSG00000238097","ENSG00000238097",-3.29984931031387,6.61825917443783e-107,-14.2880073230085,4.32989690721649,0.313364055299539,194247638,194260720
"ENSG00000224265","ENSG00000224265",-2.82411526510715,3.29151656744907e-89,-14.3534930484312,5.08247422680412,0.596774193548387,43323665,43327932
"ENSG00000109851","ENSG00000109851",-2.93539587514644,3.68435543410439e-95,-14.4651466837113,4.92783505154639,0.596774193548387,20156155,20160475
"ENSG00000101323","ENSG00000101323",-2.54967557708716,1.2117745111338e-77,-14.5094940056919,5.69072164948454,0.854838709677419,7882985,7940458
"ENSG00000270036","ENSG00000270036",-3.38136651194859,3.54912098621799e-110,-14.7106872994052,4.35051546391753,0.292626728110599,76343642,76344365
"ENSG00000234777","ENSG00000234777",-3.83087541280809,3.10553553596022e-129,-14.7705917978374,3.85567010309278,0.163594470046083,159383422,159401147
"ENSG00000149635","ENSG00000149635",-2.50185967236669,1.04009922778639e-75,-14.8306114599056,5.92783505154639,0.912442396313364,46540946,46550654
"ENSG00000153779","ENSG00000153779",-4.68656567097337,1.32066506060365e-163,-14.8810538830907,3.17525773195876,0.0161290322580645,89921908,89922883
"ENSG00000228173","ENSG00000228173",-4.15011561067267,1.53655682005829e-142,-14.9318592590182,3.5979381443299,0.101382488479263,48660125,48669479
"ENSG00000234944","ENSG00000234944",-2.76133994295665,2.67295112644668e-88,-14.9453965984767,5.41237113402062,0.679723502304147,42871521,42874060
"ENSG00000259754","ENSG00000259754",-3.06270519351395,1.02327116400647e-100,-15.2503774068787,4.97938144329897,0.476958525345622,47812729,48050507
"ENSG00000286351","ENSG00000286351",-3.03260709848262,1.38856472219013e-102,-15.4756753994732,5.10309278350515,0.56221198156682,59129511,59130875
"ENSG00000285957","ENSG00000285957",-2.60770736816672,1.81469971696216e-82,-15.4849427223096,5.93814432989691,0.841013824884793,1957921,1963131
"ENSG00000213067","ENSG00000213067",-4.62692640402865,1.67947573174886e-166,-16.0272914613776,3.4639175257732,0.0391705069124424,56597379,56598342
"ENSG00000131686","ENSG00000131686",-2.77801298855989,6.90417555325454e-92,-16.0666524389907,5.78350515463918,0.799539170506912,8945867,8975092
"ENSG00000287673","ENSG00000287673",-2.50366955365097,3.42051298282053e-81,-16.7255450594416,6.68041237113402,1.11059907834101,47263935,47282939
"ENSG00000280989","ENSG00000280989",-2.72122004875491,5.32038202109847e-89,-16.7481275165637,6.15463917525773,0.753456221198157,21485896,21521414
"ENSG00000257178","ENSG00000257178",-4.08298370569049,3.36448315176586e-146,-16.7949535935104,4.11340206185567,0.133640552995392,48579630,48582259
"ENSG00000124490","ENSG00000124490",-3.62952000153886,7.73030065325414e-134,-17.3244099042525,4.77319587628866,0.36405529953917,49692358,49713590
"ENSG00000154438","ENSG00000154438",-4.08100751197568,2.52230130508059e-148,-17.3337638652988,4.24742268041237,0.15668202764977,117363222,117428123
"ENSG00000164532","ENSG00000164532",-2.97693486381645,1.36548759581902e-104,-17.5547086814743,5.89690721649485,0.691244239631336,35202430,35254100
"ENSG00000254300","ENSG00000254300",-2.81417161008331,3.39171089641134e-96,-17.639343700316,6.2680412371134,0.748847926267281,76406654,76524356
"ENSG00000205628","ENSG00000205628",-3.03958200448758,2.61041965015853e-106,-17.7047817787163,5.82474226804124,0.663594470046083,53655508,53811952
"ENSG00000260487","ENSG00000260487",-2.67889703230665,1.69141788310576e-90,-18.0894593418645,6.75257731958763,0.97926267281106,30480588,30481346
"ENSG00000175877","ENSG00000175877",-2.97463627417353,1.72107486435926e-104,-18.0931484717771,6.08247422680412,0.682027649769585,73861159,73865890
"ENSG00000167080","ENSG00000167080",-3.1482960678788,1.01695974757144e-113,-18.1108165554265,5.75257731958763,0.596774193548387,49132460,49176840
"ENSG00000236936","ENSG00000236936",-3.26103520570309,9.20459798827071e-118,-18.255073368008,5.5979381443299,0.488479262672811,21266082,21267251
"ENSG00000287313","ENSG00000287313",-2.70101801537489,1.62006458316617e-91,-18.3223696300688,6.78350515463918,0.926267281105991,38408719,38412627
"ENSG00000256417","ENSG00000256417",-3.15938975218598,3.71831505996004e-111,-18.4352020591471,5.83505154639175,0.557603686635945,5290480,5383653
"ENSG00000280081","ENSG00000280081",-3.96191246185704,3.32479068022145e-147,-18.4616951830864,4.65979381443299,0.179723502304147,9781910,9838011
"ENSG00000282317","ENSG00000282317",-2.80533469637035,1.18647515344106e-97,-18.6540296820502,6.64948453608247,0.82258064516129,244731024,244731586
"ENSG00000282872","ENSG00000282872",-3.22585123995138,1.764012007387e-118,-19.0225454562081,5.89690721649485,0.525345622119816,26164101,26168963
"ENSG00000276715","ENSG00000276715",-3.30538426398252,1.00040008960103e-122,-19.0485546759405,5.76288659793814,0.467741935483871,37828305,37884743
"ENSG00000230448","ENSG00000230448",-3.2366135956115,3.05246190218149e-122,-19.0526429184966,5.88659793814433,0.658986175115207,13710531,14400963
"ENSG00000169605","ENSG00000169605",-2.65589642008088,2.72185170759334e-90,-19.0841216989317,7.18556701030928,0.921658986175115,68974573,68980980
"ENSG00000162344","ENSG00000162344",-3.84033590023191,3.9332971789015e-145,-19.4392260516894,5.06185567010309,0.241935483870968,69698238,69704022
"ENSG00000261275","ENSG00000261275",-4.56960955625594,4.46353137722122e-176,-19.6446101542137,4.29896907216495,0.0783410138248848,56493124,56497285
"ENSG00000186329","ENSG00000186329",-3.01617380032809,4.14018050214748e-111,-19.7761498660687,6.55670103092783,0.721198156682028,171843349,171938715
"ENSG00000284928","ENSG00000284928",-4.32717713122725,5.6733555307101e-172,-19.8068726419062,4.57731958762887,0.168202764976959,64186791,64192685
"ENSG00000266885","ENSG00000266885",-2.63385286703087,3.88038418917518e-91,-19.8489324309234,7.5360824742268,1.19354838709677,22435390,22439033
"ENSG00000171403","ENSG00000171403",-2.76241371627231,1.97511110741846e-98,-19.9919013280739,7.23711340206186,0.951612903225806,41565836,41572059
"ENSG00000258592","ENSG00000258592",-4.23983919592562,9.02347473973456e-170,-20.0190345539581,4.72164948453608,0.193548387096774,57066260,57112660
"ENSG00000288051","ENSG00000288051",-3.02399491859827,1.05753493993958e-110,-20.0768322430648,6.63917525773196,0.652073732718894,155412596,155421884
"ENSG00000223823","ENSG00000223823",-3.706661145025,1.80416925849525e-141,-20.1000387864242,5.42268041237113,0.306451612903226,1137017,1144056
"ENSG00000229316","ENSG00000229316",-3.86577167655061,2.76568254843079e-148,-20.2853379728274,5.24742268041237,0.246543778801843,50398825,50399773
"ENSG00000227947","ENSG00000227947",-2.82718750859775,2.06223439466337e-102,-20.3149452937385,7.18556701030928,0.928571428571429,47688463,47704029
"ENSG00000280414","ENSG00000280414",-3.21824478205543,2.52538202009404e-120,-20.4375132551149,6.35051546391753,0.548387096774194,174334438,174337566
"ENSG00000274355","ENSG00000274355",-4.52361109342737,2.14757505893311e-175,-20.6593784988487,4.56701030927835,0.0783410138248848,66976520,66976991
"ENSG00000131864","ENSG00000131864",-3.2085323343499,5.58583845786485e-120,-20.7727660409457,6.47422680412371,0.585253456221198,57119138,57131926
"ENSG00000237070","ENSG00000237070",-2.95907400421503,3.61666182632678e-110,-21.1711067930436,7.15463917525773,0.84331797235023,15667947,15681980
"ENSG00000228835","ENSG00000228835",-3.0544468999458,2.14431854643296e-113,-21.2866608697254,6.96907216494845,0.684331797235023,32769795,32774413
"ENSG00000225671","ENSG00000225671",-3.81238632588672,5.53927636386325e-150,-21.3808057864163,5.60824742268041,0.276497695852535,50405430,50406024
"ENSG00000213645","ENSG00000213645",-3.99602537951821,2.47944672192559e-162,-21.4219917252522,5.36082474226804,0.26036866359447,63931141,63931968
"ENSG00000088386","ENSG00000088386",-2.65353414938783,7.32321247048305e-96,-21.5565454610063,8.12371134020619,1.26497695852535,98683801,98752672
"ENSG00000162040","ENSG00000162040",-2.80884838845299,9.85467498888094e-101,-21.6310283110761,7.70103092783505,0.894009216589862,1911475,1918415
"ENSG00000138472","ENSG00000138472",-2.54026079237098,4.65060824819697e-92,-22.1552642303696,8.72164948453608,1.64746543778802,108907792,108953879
"ENSG00000253417","ENSG00000253417",-4.40148561717404,3.17417688973032e-183,-22.2343087877864,5.05154639175258,0.182027649769585,160931778,160938626
"ENSG00000275722","ENSG00000275722",-4.7735073864969,6.57716043473336e-191,-22.3911944418153,4.69072164948454,0.0414746543778802,35934518,35943713
"ENSG00000270149","ENSG00000270149",-2.78602165710087,7.70208528116732e-104,-22.4605044933286,8.06185567010309,1.05990783410138,160997957,161038962
"ENSG00000277738","ENSG00000277738",-2.91011039167643,3.30215220830045e-110,-22.5908569580655,7.76288659793814,0.940092165898618,91634887,91635644
"ENSG00000171557","ENSG00000171557",-2.68406951397195,2.96319010383432e-98,-22.6900721799691,8.45360824742268,1.24884792626728,154604134,154612967
"ENSG00000218358","ENSG00000218358",-2.84512460512723,8.92062650393443e-108,-22.9369839299948,8.06185567010309,1.00921658986175,149998019,150005157
"ENSG00000185467","ENSG00000185467",-2.61231006231217,2.4527996428006e-93,-23.0260319925454,8.81443298969072,1.27649769585253,99173574,99207506
"ENSG00000099721","ENSG00000099721",-5.2002132120181,4.24054488427943e-220,-23.2133228948849,4.4639175257732,0.032258064516129,6865918,6911774
"ENSG00000286540","ENSG00000286540",-2.69053200870463,1.01143597543158e-99,-23.3826647766804,8.69072164948454,1.21198156682028,120462511,120706789
"ENSG00000251604","ENSG00000251604",-2.90845117643652,1.68168327716203e-112,-23.3875455424792,8.04123711340206,0.983870967741935,73451498,73453395
"ENSG00000261046","ENSG00000261046",-3.48033066583868,8.84545668707085e-140,-23.5729613139795,6.77319587628866,0.580645161290323,35552909,35554001
"ENSG00000110245","ENSG00000110245",-3.02727327407572,3.64725960099058e-120,-23.7188421473974,7.83505154639175,0.951612903225806,116829706,116833072
"ENSG00000246016","ENSG00000246016",-3.35552042769786,6.66014901010001e-133,-24.0421308994847,7.16494845360825,0.559907834101382,10479371,10482309
"ENSG00000266378","ENSG00000266378",-3.30260438143686,1.44975976882156e-132,-24.888698998251,7.5360824742268,0.652073732718894,14327335,14329474
"ENSG00000181562","ENSG00000181562",-4.32695966679263,2.89435391280401e-185,-25.4264640213587,5.87628865979381,0.172811059907834,20745887,20748380
"ENSG00000266736","ENSG00000266736",-4.89523674896234,1.62317564998861e-206,-25.4350445513095,5.19587628865979,0.0529953917050691,27019527,27047934
"ENSG00000196273","ENSG00000196273",-3.20308324469709,1.22717548787216e-132,-25.6576874343261,8.01030927835052,0.790322580645161,100657250,100676069
"ENSG00000286049","ENSG00000286049",-4.17672079167463,1.80553072131487e-174,-25.7062094085542,6.15463917525773,0.195852534562212,91423781,91426936
"ENSG00000276399","ENSG00000276399",-3.45598078837125,9.74191944891071e-143,-25.9020415788237,7.49484536082474,0.624423963133641,22406019,22413744
"ENSG00000232650","ENSG00000232650",-3.14523010902049,3.07464395202991e-127,-25.9076170835811,8.23711340206185,0.799539170506912,119327399,119356182
"ENSG00000255042","ENSG00000255042",-3.3830860602001,1.58988941031413e-143,-25.9486188534935,7.67010309278351,0.670506912442396,50279828,50298452
"ENSG00000250597","ENSG00000250597",-2.5047177646378,8.12735175793903e-91,-26.41573477551,10.5463917525773,1.74193548387097,34657606,34669432
"ENSG00000285407","ENSG00000285407",-3.01958691420005,2.4659261492902e-123,-26.7093357977695,8.84536082474227,0.988479262672811,68679202,68943452
"ENSG00000255733","ENSG00000255733",-3.00541716067123,4.0548351186697e-124,-26.7389176253533,8.89690721649485,1.11981566820276,67989445,68234686
"ENSG00000173627","ENSG00000173627",-3.79829165434325,1.40299069862621e-164,-26.7838298100081,7.05154639175258,0.403225806451613,183646275,183653316
"ENSG00000224458","ENSG00000224458",-3.33636375586385,1.49430718007851e-143,-26.8628875600996,8.05154639175258,0.804147465437788,64100305,64150721
"ENSG00000268433","ENSG00000268433",-2.69995992478273,4.88958719864478e-105,-26.9160953326278,9.96907216494845,1.52995391705069,21677550,21678221
"ENSG00000274373","ENSG00000274373",-4.34780235676797,2.9221494496535e-196,-27.2522044630405,6.2680412371134,0.264976958525346,132424504,132425208
"ENSG00000179676","ENSG00000179676",-4.8610299616758,2.92038014892913e-219,-27.2618587541406,5.60824742268041,0.124423963133641,64079989,64149088
"ENSG00000285576","ENSG00000285576",-2.83988023127529,2.99150484236672e-116,-27.3448261444446,9.62886597938144,1.33640552995392,46458061,46459324
"ENSG00000286058","ENSG00000286058",-2.60109123376066,3.52977150469532e-101,-27.8075423650496,10.6907216494845,1.78110599078341,130026845,130051131
"ENSG00000260266","ENSG00000260266",-2.62886167959073,1.50381344386271e-100,-27.9418184707015,10.6288659793814,1.55069124423963,74350768,74364620
"ENSG00000182223","ENSG00000182223",-3.14847930968105,3.78670884835684e-133,-28.4661479854669,9.04123711340206,0.894009216589862,48490252,48494389
"ENSG00000244247","ENSG00000244247",-2.66173479287451,7.97935834705846e-104,-28.9772365079946,10.8865979381443,1.61751152073733,182498187,182536772
"ENSG00000205325","ENSG00000205325",-4.25665011886976,3.75103242613727e-195,-29.0944229774294,6.83505154639175,0.26036866359447,14767583,14780686
"ENSG00000225421","ENSG00000225421",-3.20485523846261,1.87057446488407e-139,-29.2401740828805,9.12371134020619,0.921658986175115,198493242,198772356
"ENSG00000105198","ENSG00000105198",-4.05613917665026,1.00233370576578e-179,-29.5220026671658,7.27835051546392,0.267281105990783,39602501,39607474
"ENSG00000185640","ENSG00000185640",-3.48345921542597,8.45062868862814e-150,-29.7350951584814,8.5360824742268,0.557603686635945,52821408,52834311
"ENSG00000277135","ENSG00000277135",-3.01796999912143,6.07609702329604e-127,-29.7441166923721,9.85567010309278,1.16129032258065,96139472,96140452
"ENSG00000229533","ENSG00000229533",-3.14714537652948,3.58281289393535e-139,-29.8492138804858,9.48453608247423,1.04377880184332,19144293,19146253
"ENSG00000243629","ENSG00000243629",-2.61107850861604,4.1507772092369e-101,-29.8793520058124,11.4432989690722,1.64285714285714,157081667,157128595
"ENSG00000246084","ENSG00000246084",-2.70000437707975,1.90728083984185e-107,-30.0340693079284,11.1237113402062,1.50460829493088,97427071,97582146
"ENSG00000277749","ENSG00000277749",-3.20408090621763,4.04088142278884e-138,-30.1910303946692,9.42268041237113,0.887096774193548,74311516,74319688
"ENSG00000250979","ENSG00000250979",-2.65402303309135,1.50528289015133e-105,-30.7264728470266,11.5773195876289,1.67511520737327,72202751,72251565
"ENSG00000135374","ENSG00000135374",-2.5321153322723,2.13827239071498e-97,-30.9335739045637,12.2164948453608,1.94239631336406,34478791,34525193
"ENSG00000287886","ENSG00000287886",-3.07645795818235,7.47532499665503e-132,-30.9548759503709,10.0618556701031,1.0852534562212,53738728,53741797
"ENSG00000226668","ENSG00000226668",-3.50846446884074,1.23527996871408e-156,-31.0336341676841,8.84536082474227,0.605990783410138,92882567,92899608
"ENSG00000223652","ENSG00000223652",-2.52769567044121,1.28434742267188e-98,-31.2965206206175,12.3814432989691,2.00460829493088,123087248,123090299
"ENSG00000260597","ENSG00000260597",-4.00566595966807,1.67776546361716e-185,-31.3845992716261,7.83505154639175,0.36405529953917,54019910,54022589
"ENSG00000112041","ENSG00000112041",-2.59467289436159,1.5237138448282e-102,-31.4035667833042,12.1030927835052,1.92857142857143,35497874,35512896
"ENSG00000109182","ENSG00000109182",-3.33338907032813,5.43810251104249e-147,-31.4094598997929,9.42268041237113,0.748847926267281,48986275,49062081
"ENSG00000227365","ENSG00000227365",-3.83527343639732,1.09736968504558e-175,-31.5915822235202,8.23711340206185,0.43778801843318,155510283,155518623
"ENSG00000279296","ENSG00000279296",-2.54601713984233,4.03773289474615e-100,-31.838338047719,12.5051546391753,2.05760368663594,6772831,6776116
"ENSG00000155495","ENSG00000155495",-2.81034429859451,2.53812116054189e-115,-32.0726921499394,11.4123711340206,1.35253456221198,141903894,141909374
"ENSG00000135346","ENSG00000135346",-3.1417141528136,8.64940146436665e-134,-32.1620840592155,10.2371134020619,0.857142857142857,87085498,87095106
"ENSG00000197171","ENSG00000197171",-3.38641189258645,2.4481708201444e-151,-32.3280145622171,9.54639175257732,0.783410138248848,29223973,29292963
"ENSG00000174171","ENSG00000174171",-2.77719213319971,2.90773394435492e-116,-33.2117822114605,11.9587628865979,1.75576036866359,41892777,41899528
"ENSG00000268223","ENSG00000268223",-3.03330505607924,3.49543092167669e-131,-33.428897989162,11.020618556701,1.1221198156682,116032324,116060118
"ENSG00000237210","ENSG00000237210",-3.74432116268817,1.58590391995827e-173,-33.4672829695943,8.93814432989691,0.509216589861751,55244247,55245681
"ENSG00000269985","ENSG00000269985",-2.52964434672493,1.22053719716455e-97,-33.5634255075771,13.2680412371134,2.27188940092166,5451683,5458075
"ENSG00000264734","ENSG00000264734",-5.01702073183907,1.88141269329068e-235,-33.8260985425026,6.74226804123711,0.0852534562211982,26989189,26999941
"ENSG00000163394","ENSG00000163394",-2.8020388361459,2.4914985524398e-119,-34.0288840101018,12.1443298969072,1.58755760368664,26481396,26490484
"ENSG00000261316","ENSG00000261316",-4.08815740067284,7.42068544130046e-197,-34.8547027871798,8.52577319587629,0.366359447004608,30907199,30909155
"ENSG00000250337","ENSG00000250337",-2.69500479821482,1.76162785805673e-111,-35.0350623767927,13,2.15207373271889,27217714,27496994
"ENSG00000233215","ENSG00000233215",-4.57308222223511,8.08542465083904e-229,-35.5474638718069,7.77319587628866,0.264976958525346,22008756,22098518
"ENSG00000196260","ENSG00000196260",-2.88238112820533,1.05186613738634e-124,-36.2526286227887,12.5773195876289,1.63364055299539,30931353,30955636
"ENSG00000242990","ENSG00000242990",-2.79843429743023,1.97860352888025e-121,-36.5238950571822,13.0515463917526,2.04147465437788,57674665,57675250
"ENSG00000232258","ENSG00000232258",-2.89153234999906,9.96215711462317e-127,-36.695632194318,12.6907216494845,1.55990783410138,8537605,8590193
"ENSG00000226822","ENSG00000226822",-3.5557584433746,2.74854796173564e-173,-36.7306181470242,10.3298969072165,0.831797235023041,108040263,108076020
"ENSG00000285822","ENSG00000285822",-5.15391228139532,1.64430401621839e-253,-37.2994476447372,7.23711340206186,0.0806451612903226,27089545,27170310
"ENSG00000188467","ENSG00000188467",-2.81147469052532,1.40555458056942e-121,-37.7954948087115,13.4432989690722,1.79032258064516,48120990,48142672
"ENSG00000230564","ENSG00000230564",-4.62599823225983,7.42234872374476e-226,-37.9617999265858,8.20618556701031,0.168202764976959,55259809,55260256
"ENSG00000249610","ENSG00000249610",-2.5337609180728,3.04189541398242e-100,-38.03253501767,15.0103092783505,2.40322580645161,122154496,122156015
"ENSG00000273983","ENSG00000273983",-3.25500621377461,2.29137333046719e-153,-38.4224960285766,11.8041237113402,1.12903225806452,26269405,26271815
"ENSG00000154342","ENSG00000154342",-3.4912579780285,2.59615583909346e-167,-38.6557842103362,11.0721649484536,0.797235023041475,228006998,228061271
"ENSG00000253690","ENSG00000253690",-4.88639217027307,1.46060945542363e-248,-38.889636654132,7.95876288659794,0.154377880184332,28250063,28339255
"ENSG00000178734","ENSG00000178734",-2.69511352479712,4.24296517464042e-114,-39.0096844207748,14.4742268041237,2.15437788018433,75871038,75883811
"ENSG00000224717","ENSG00000224717",-2.84298558245976,2.6660612114731e-126,-39.0690699115346,13.7422680412371,1.78801843317972,205455929,205469024
"ENSG00000286728","ENSG00000286728",-3.71996239617751,4.44261906708897e-185,-40.229284057631,10.8144329896907,0.67741935483871,45169616,45211673
"ENSG00000214617","ENSG00000214617",-3.82466388849506,1.21616556665818e-198,-40.6518398869938,10.6288659793814,0.771889400921659,32877469,32885501
"ENSG00000231720","ENSG00000231720",-4.9057700796932,8.77983067215134e-253,-41.2185836592779,8.4020618556701,0.161290322580645,167237508,167240480
"ENSG00000283383","ENSG00000283383",-2.73015515081915,3.04370006579457e-119,-41.3182243443559,15.1340206185567,2.11059907834101,183762115,183765721
"ENSG00000259514","ENSG00000259514",-3.83262294362283,3.86702767421904e-193,-41.3291092683452,10.7835051546392,0.615207373271889,76339609,76342063
"ENSG00000284188","ENSG00000284188",-3.02598314252148,3.14219815765701e-141,-42.2389811852998,13.9587628865979,1.58064516129032,244729898,244730962
"ENSG00000286526","ENSG00000286526",-4.27784582217477,3.42669250686209e-228,-42.469747698498,9.92783505154639,0.456221198156682,35372349,35379675
"ENSG00000241469","ENSG00000241469",-2.91939541167548,2.7745241134474e-134,-43.0084128173635,14.7319587628866,1.80875576036866,107840228,107882250
"ENSG00000263711","ENSG00000263711",-2.68081643314646,1.12487278708516e-114,-43.1417984756868,16.0927835051546,2.52764976958525,73151241,73264480
"ENSG00000197888","ENSG00000197888",-2.95683032296534,1.35221919857244e-137,-43.2855573052658,14.639175257732,1.82027649769585,68537184,68568527
"ENSG00000288575","ENSG00000288575",-3.3026355222249,3.01025900439851e-165,-43.7514087222577,13.2474226804124,1.25806451612903,86751297,86758347
"ENSG00000227987","ENSG00000227987",-2.85528969781556,2.93251602550181e-130,-43.9773485416128,15.4020618556701,1.90092165898618,98346995,98351140
"ENSG00000228742","ENSG00000228742",-3.17819767949615,4.09656110121109e-156,-44.4292376638844,13.979381443299,1.62903225806452,106774955,106838480
"ENSG00000234602","ENSG00000234602",-2.98958532577624,7.2955261766174e-143,-44.6896775502633,14.9484536082474,1.93778801843318,55219564,55227315
"ENSG00000249001","ENSG00000249001",-3.18670812951647,2.34685102978606e-155,-44.8438824411338,14.0721649484536,1.40783410138249,87568035,87733956
"ENSG00000205361","ENSG00000205361",-2.81866226302668,1.88428004767712e-127,-45.2148297038095,16.0412371134021,2.24654377880184,56643705,56644786
"ENSG00000163081","ENSG00000163081",-4.33003326660449,3.79024143008049e-226,-45.2198319491788,10.4432989690722,0.370967741935484,222298147,222305217
"ENSG00000143032","ENSG00000143032",-3.42217155674583,2.56144997927972e-173,-45.3349530970969,13.2474226804124,1.13133640552995,90711539,90717302
"ENSG00000248409","ENSG00000248409",-2.58314403754136,7.96164434422851e-109,-45.4313786396449,17.5876288659794,2.84101382488479,23392553,23394792
"ENSG00000225742","ENSG00000225742",-2.66783743521112,6.16852794619326e-117,-45.8482990154323,17.1855670103093,2.60138248847926,194202392,194250203
"ENSG00000286390","ENSG00000286390",-3.09274215815099,4.15019899778933e-153,-46.2317126733911,14.9484536082474,1.86635944700461,117332761,117350096
"ENSG00000267521","ENSG00000267521",-3.35732586169184,5.41056569834461e-172,-47.0717852773289,14.020618556701,1.26728110599078,76957023,76958222
"ENSG00000126545","ENSG00000126545",-3.59866768526128,1.06435131577958e-188,-47.1907762438386,13.1134020618557,0.944700460829493,69931068,69946574
"ENSG00000234692","ENSG00000234692",-3.46088951123708,1.16731296078362e-175,-47.3463956846557,13.680412371134,1.07603686635945,115252538,115254251
"ENSG00000251521","ENSG00000251521",-2.50780214784226,6.34086897588422e-104,-47.3638508747115,18.8865979381443,3.10599078341014,81605569,81631134
"ENSG00000184860","ENSG00000184860",-2.5258736448555,4.8879201940646e-107,-47.6010002350089,18.8453608247423,3.65898617511521,81988855,82011481
"ENSG00000269720","ENSG00000269720",-2.74972005054269,3.01543932637333e-123,-48.1342746991906,17.5051546391753,2.52073732718894,17390509,17394158
"ENSG00000276851","ENSG00000276851",-2.93794305403147,1.82796358687607e-138,-48.5820686460462,16.5360824742268,1.97235023041475,50094065,50094647
"ENSG00000259508","ENSG00000259508",-4.50666117577841,7.59838252361126e-245,-49.1551291131294,10.9072164948454,0.331797235023041,102770040,102774791
"ENSG00000267079","ENSG00000267079",-3.00041374575348,2.22837227765778e-145,-49.1820397499798,16.3917525773196,1.97926267281106,11910634,11914344
"ENSG00000259478","ENSG00000259478",-2.65188459848638,5.70609315766507e-117,-49.2102296626339,18.5567010309278,2.80645161290323,97982509,97991142
"ENSG00000231210","ENSG00000231210",-4.70173056166733,5.62396986394516e-265,-49.3924066220517,10.5051546391753,0.324884792626728,116563594,116663829
"ENSG00000147869","ENSG00000147869",-2.88417451009653,3.52804508762765e-137,-50.0121806802305,17.340206185567,2.26267281105991,14719724,14722733
"ENSG00000231057","ENSG00000231057",-3.22562273117271,3.13200395805783e-161,-51.177663745101,15.8659793814433,1.54147465437788,211675749,211690103
"ENSG00000224931","ENSG00000224931",-2.86889164328695,6.02593146352589e-134,-51.7287781866895,18.0309278350515,2.8778801843318,153122145,153128323
"ENSG00000246095","ENSG00000246095",-3.98784036518095,3.81997017569857e-219,-52.0885952854047,13.0618556701031,0.716589861751152,13546075,13547801
"ENSG00000125533","ENSG00000125533",-4.19922962094248,3.22321975935277e-234,-52.3388516672109,12.4639175257732,0.518433179723502,63005927,63007035
"ENSG00000230873","ENSG00000230873",-3.17491685456143,5.18238949699439e-161,-52.5988802606208,16.5670103092784,1.74423963133641,17102050,17131378
"ENSG00000211649","ENSG00000211649",-2.62585078420176,1.54015403960887e-115,-53.1667107234253,20.2474226804124,3.14746543778802,22369614,22370087
"ENSG00000184895","ENSG00000184895",-4.12224739306894,3.36442818191597e-233,-53.2067395476527,12.9072164948454,0.617511520737327,2786855,2787682
"ENSG00000236502","ENSG00000236502",-3.30748352469198,1.71778263517565e-172,-53.6698872975791,16.2268041237113,1.52073732718894,44940154,44941873
